Month;Age;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;NumofLoan;Type_of_Loan;Delay_from_due_date;NumofDelayedPayment;ChangedCreditLimit;Num_Credit_Inquiries;CreditMix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Monthly_Balance;Credit_Score
March;20;Accountant;92047.08;7591.59;6;7;16;0;;18;11;9.13;4;;1296.64;27.79278836;29 Years and 4 Months;Yes;0;175.4456227;823.7133773;Standard
April;20;Accountant;92047.08;7591.59;6;7;16;0;;16;11;9.13;4;Standard;1296.64;42.94468168;NA;Yes;0;120.9075538;878.2514462;Poor
May;20;Accountant;92047.08;7591.59;6;7;16;0;;16;8;9.13;4;Standard;1296.64;34.35765024;29 Years and 6 Months;NM;0;78.71934549;920.4396545;Poor
June;20;Accountant;92047.08;7591.59;6;7;16;0;;16;13;13.13;4;Standard;1296.64;28.77693774;NA;Yes;0;266.5850272;782.5739728;Poor
July;20;Accountant;92047.08;7591.59;6;7;16;0;;16;10;9.13;4;;1296.64;40.75852164;29 Years and 8 Months;Yes;0;59.28557023;939.8734298;Poor
August;20;Accountant;92047.08;7591.59;6;7;16;0;;16;11;9.13;4;Standard;1296.64;27.72764678;29 Years and 9 Months;Yes;0;268.0846033;761.0743967;Poor
January;45;Teacher;32284.62;2898.385;6;7;17;6;Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan;11;12;9.22;8;Standard;1283.37;28.94089259;6 Years and 5 Months;Yes;103.0375604;254.8616151;211.9393246;Standard
February;46;Teacher;32284.62;2898.385;6;7;17;6;Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan;11;12;9.22;8;Standard;1283.37;27.86131019;6 Years and 6 Months;Yes;103.0375604;103.2103074;353.5906322;Standard
March;46;Teacher;32284.62;2898.385;6;7;17;6;Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan;10;12;9.22;8;Standard;1283.37;27.88169704;6 Years and 7 Months;Yes;103.0375604;35.79356841;391.0073712;Standard
April;46;Teacher;32284.62;2898.385;6;7;17;6;Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan;11;12;9.22;8;Standard;1283.37;38.39455822;6 Years and 8 Months;Yes;103.0375604;280.2182538;196.5826859;Standard
May;46;Teacher;32284.62;2898.385;6;7;17;6;Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan;15;;8.22;10;;1283.37;33.23978443;6 Years and 9 Months;Yes;103.0375604;154.0197492;292.7811904;Standard
June;46;Teacher;32284.62;2898.385;6;7;17;6;Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan;11;12;8.22;10;Standard;1283.37;26.87446741;6 Years and 10 Months;Yes;103.0375604;272.2735499;204.5273897;Standard
July;46;Teacher;32284.62;2898.385;6;7;17;6;Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan;7;;9.22;10;Standard;1283.37;24.2055332;6 Years and 11 Months;Yes;103.0375604;10000;85.90209493;Standard
August;46;Teacher;32284.62;2898.385;6;7;17;6;Credit-Builder Loan, Not Specified, Mortgage Loan, Payday Loan, Credit-Builder Loan, and Personal Loan;13;12;2.22;10;Standard;1283.37;27.93012371;7 Years and 0 Months;Yes;103.0375604;359.7718323;117.0291074;Standard
January;26;Musician;97791.42;8079.285;6;6;12;0;;18;8;17.92;1;Standard;107.41;25.71557884;27 Years and 2 Months;Yes;0;451.2465194;646.6819806;Standard
February;26;Musician;97791.42;8079.285;6;6;12;0;;18;8;11.92;1;;107.41;28.71120252;27 Years and 3 Months;Yes;0;322.7203197;755.2081803;Standard
March;26;Musician;97791.42;8079.285;6;6;12;0;;18;7;17.92;1;;107.41;34.92287233;27 Years and 4 Months;Yes;0;176.2642258;881.6642742;Standard
April;26;Musician;97791.42;;6;6;12;0;;19;8;15.92;1;Standard;107.41;26.51363149;27 Years and 5 Months;Yes;629.8156531;499.24502;588.68348;Good
May;26;Musician;97791.42;7449.469347;6;6;12;0;;18;;17.92;1;;107.41;38.64911431;27 Years and 6 Months;Yes;629.8156531;77.60922834;970.3192717;Good
June;26;Musician;97791.42;7449.469347;6;6;12;0;;16;8;17.92;1;Standard;107.41;44.67688859;27 Years and 7 Months;Yes;629.8156531;108.3039386;939.6245614;Good
July;26;Musician;97791.42;7449.469347;6;6;12;0;;18;8;13.92;1;Standard;107.41;28.80734982;27 Years and 8 Months;Yes;629.8156531;743.5408013;334.3876987;Standard
August;26;Musician;97791.42;7449.469347;6;6;12;0;;18;8;17.92;1;Standard;107.41;33.8944426;27 Years and 9 Months;Yes;629.8156531;110.3182036;947.6102964;Good
January;31;Entrepreneur;19300.34;1512.361667;6;7;17;5;Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified;52;;9.95;7;Bad;2430.21;29.93418573;18 Years and 2 Months;Yes;49.57206224;79.17641583;312.4876886;Poor
February;31;Entrepreneur;19300.34;1512.361667;6;7;17;5;Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified;51;18;9.95;7;Bad;2430.21;36.64120358;18 Years and 3 Months;NM;49.57206224;55.29821299;306.3658914;Poor
March;31;Entrepreneur;19300.34;1512.361667;6;7;17;5;Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified;48;19;15.95;7;;2430.21;37.62486247;NA;Yes;49.57206224;140.8185959;230.8455085;Poor
April;31;Entrepreneur;19300.34;1512.361667;6;7;17;5;Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified;51;19;9.95;7;Bad;2430.21;28.87038692;18 Years and 5 Months;Yes;49.57206224;61.42802987;300.2360745;Standard
May;32;Entrepreneur;19300.34;1512.361667;6;7;17;5;Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified;51;19;9.95;7;Bad;2430.21;28.05884596;NA;Yes;49.57206224;173.0425508;218.6215536;Poor
June;32;_______;19300.34;1512.361667;6;1029;17;5;Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified;51;17;9.95;8;Bad;2430.21;25.84779062;18 Years and 7 Months;Yes;49.57206224;83.44744883;288.2166556;Poor
July;32;Entrepreneur;19300.34;;6;7;17;5;Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified;51;19;8.95;8;;2430.21;25.84314494;18 Years and 8 Months;Yes;56566;120.9754899;250.6886146;Poor
August;32;Entrepreneur;19300.34;1512.361667;6;7;17;5;Mortgage Loan, Debt Consolidation Loan, Payday Loan, Auto Loan, and Not Specified;53;19;9.95;8;Bad;2430.21;23.70919322;18 Years and 9 Months;Yes;49.57206224;118.1855507;263.4785537;Standard
January;41;Musician;19514.88;1828.24;7;5;17;0;;30;12;4.17;2;;881.4;26.08454275;19 Years and 3 Months;NM;0;50.14372714;382.6802729;Standard
February;41;Musician;19514.88;1828.24;7;5;17;0;;30;14;4.17;2;;881.4;25.66585678;19 Years and 4 Months;No;0;10000;381.8960652;Standard
March;41;Musician;19514.88;1828.24;7;5;17;0;;30;12;4.17;2;Standard;881.4;33.66946005;19 Years and 5 Months;No;0;43.31582446;389.5081755;Standard
April;41;Musician;19514.88;1828.24;7;488;17;0;;30;12;4.17;2;Standard;881.4;34.50370724;19 Years and 6 Months;No;0;45.38882031;387.4351797;Poor
May;41;Musician;19514.88;;7;5;17;0;;30;;4.17;2;Standard;881.4;41.1763842;19 Years and 7 Months;No;0;168.3414629;304.4825371;Poor
June;41;_______;19514.88;;7;5;17;0;;30;12;4.17;2;Standard;881.4;38.78807246;19 Years and 8 Months;No;0;151.3776398;321.4463602;Poor
July;41;Musician;19514.88;1828.24;7;5;17;0;;30;15;4.17;2;Standard;881.4;27.18248277;19 Years and 9 Months;No;0;184.63116;278.19284;Poor
August;41;Musician;19514.88;;7;5;5240;0;;26;11;4.17;4;;881.4;28.78188778;19 Years and 10 Months;No;0;99.14154149;343.6824585;Poor
January;41;Media_Manager;10183.015;;7;5;17;5;Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan;48;;8.97;6;Bad;1672.43;25.95127289;10 Years and 1 Months;Yes;37.58807284;14.62273924;295.2476463;Poor
February;41;Media_Manager;10183.015;1074.584583;7;5;17;5;Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan;48;18;7.97;6;Bad;1672.43;32.38559762;10 Years and 2 Months;NM;37.58807284;92.36195002;267.5084355;Poor
March;41;Media_Manager;10183.015;1074.584583;7;5;17;5;Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan;48;23;7.97;6;Bad;1672.43;23.73134791;10 Years and 3 Months;Yes;37.58807284;91.88397194;267.9864136;Poor
April;41;Media_Manager;10183.015;1074.584583;7;5;17;5;Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan;43;20;7.97;6;;1672.43;27.61417778;10 Years and 4 Months;Yes;37.58807284;46.81041575;283.0599697;Standard
May;41;Media_Manager;10183.015;1074.584583;7;5;17;5;Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan;51;;7.97;6;Bad;1672.43;32.29348991;10 Years and 5 Months;Yes;37.58807284;65.83126164;294.0391239;Poor
June;42;_______;10183.015;1074.584583;7;5;17;5;Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan;48;24;10.97;1050;Bad;1672.43;25.10540255;10 Years and 6 Months;Yes;37.58807284;73.89986104;285.9705245;Poor
July;42;Media_Manager;10183.015;1074.584583;7;5;17;5;Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan;52;21;7.97;6;;1672.43;24.71382399;10 Years and 7 Months;Yes;37.58807284;61.86372758;298.0066579;Poor
August;42;Media_Manager;10183.015;1074.584583;7;5;17;5;Credit-Builder Loan, Mortgage Loan, Mortgage Loan, Credit-Builder Loan, and Student Loan;48;21;7.97;6;Bad;1672.43;36.83702882;10 Years and 8 Months;Yes;37.58807284;71.12274735;288.7476381;Poor
January;19;Entrepreneur;106733.13;8873.4275;4;4;1;0;;10;8;0.86;0;;76.23;29.81589563;32 Years and 9 Months;No;0;388.3603537;768.9823963;Good
February;20;Entrepreneur;106733.13;8873.4275;4;4;1;0;;5;7;;0;;76.23;28.10808629;32 Years and 10 Months;No;0;807.2067768;370.1359732;Good
March;20;Entrepreneur;106733.13;8873.4275;4;4;4975;0;;2;6;0.86;0;Good;76.23;42.0704586;32 Years and 11 Months;No;0;172.0328285;955.3099215;Good
April;20;Entrepreneur;106733.13;;4;4;1;0;;5;7;-4.14;0;Good;76.23;25.84254794;33 Years and 0 Months;No;0;644.2873937;513.0553563;Good
May;20;Entrepreneur;106733.13;8873.4275;4;4;1;-100;;5;6;0.86;0;Good;76.23;28.82055378;33 Years and 1 Months;No;0;345.6091354;791.7336146;Good
June;20;Entrepreneur;106733.13;8873.4275;4;4;1;0;;5;6;-0.14;0;Good;76.23;31.7276036;NA;No;0;;913.0316547;Standard
July;20;Entrepreneur;106733.13;8873.4275;4;4;1;0;;9;4;0.86;1;;76.23;43.66511841;NA;No;0;191.0353726;936.3073774;Standard
August;20;Entrepreneur;106733.13;8873.4275;4;4;1;0;;7;6;0.86;1;Good;76.23;39.24363978;33 Years and 4 Months;No;0;384.7637248;792.5790252;Standard
January;31;Lawyer;12600.445;782.0370833;5;5;10;-100;Not Specified, Student Loan, and Student Loan;28;19;15.79;7;;569.8;33.07588357;12 Years and 3 Months;Yes;26.06034753;0;284.2982045;Standard
February;31;Lawyer;12600.445;782.0370833;5;5;10;-100;Not Specified, Student Loan, and Student Loan;25;18;15.79;7;Standard;569.8;38.15374126;12 Years and 4 Months;Yes;26.06034753;103.1586179;238.9847429;Standard
March;31;Lawyer;12600.445;782.0370833;5;5;10;3;Not Specified, Student Loan, and Student Loan;25;16;15.79;7;Standard;569.8;23.17983274;12 Years and 5 Months;Yes;26.06034753;32.02630794;310.1170529;Standard
April;32;_______;12600.445;782.0370833;5;5;10;3;Not Specified, Student Loan, and Student Loan;25;18;15.79;;Standard;569.8;28.81940706;12 Years and 6 Months;Yes;33746;31.14919791;300.9941629;Poor
May;32;Lawyer;12600.445;782.0370833;5;5;10;3;Not Specified, Student Loan, and Student Loan;20;19;15.79;7;Standard;569.8;37.24021434;12 Years and 7 Months;Yes;26.06034753;41.0826367;301.0607241;Poor
June;32;Lawyer;12600.445;782.0370833;5;5;10;3;Not Specified, Student Loan, and Student Loan;25;19;15.79;7;Standard;569.8;36.52748004;12 Years and 8 Months;Yes;26.06034753;48.00806666;294.1352941;Poor
July;32;Lawyer;12600.445;782.0370833;5;5;10;3;Not Specified, Student Loan, and Student Loan;25;20;21.79;7;Standard;569.8;34.12530593;NA;Yes;26.06034753;56.90889586;275.2344649;Poor
August;32;Lawyer;12600.445;782.0370833;5;5;10;3;Not Specified, Student Loan, and Student Loan;25;19;15.79;11;Standard;569.8;31.97887352;12 Years and 10 Months;Yes;26.06034753;66.37358;275.7697808;Poor
January;34;Mechanic;57983.12;4720.926667;9;8;31;8;Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan;47;19;7.27;12;Bad;3532.83;32.32176946;NA;Yes;200.4326134;265.7062119;295.9538413;Poor
February;34;Mechanic;57983.12;;9;8;31;8;Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan;53;21;7.27;1044;Bad;3532.83;37.87364187;12 Years and 3 Months;Yes;200.4326134;193.8733754;327.7866778;Standard
March;34;Mechanic;57983.12;4720.926667;9;8;31;8;Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan;48;;7.27;17;Bad;3532.83;37.81024309;12 Years and 4 Months;Yes;200.4326134;534.3581784;27.30187488;Poor
April;34;Mechanic;57983.12;;9;8;31;8;Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan;48;22;7.27;17;;3532.83;32.56739684;12 Years and 5 Months;Yes;200.4326134;197.6404955;324.0195577;Poor
May;34;Mechanic;57983.12;4720.926667;9;8;31;8;Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan;48;21;10.27;17;Bad;3532.83;37.28428974;12 Years and 6 Months;Yes;200.4326134;205.2501523;356.409901;Poor
June;34;Mechanic;57983.12;4720.926667;9;8;31;8;Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan;46;21;7.27;17;Bad;3532.83;35.2573783;12 Years and 7 Months;Yes;200.4326134;626.869242;;Standard
July;34;Mechanic;57983.12;4720.926667;9;8;31;8;Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan;49;21;7.27;1936;Bad;3532.83;24.63149693;12 Years and 8 Months;Yes;200.4326134;234.7320401;316.9280132;Standard
August;34;Mechanic;57983.12;4720.926667;9;8;31;8;Payday Loan, Not Specified, Credit-Builder Loan, Debt Consolidation Loan, Payday Loan, Not Specified, Student Loan, and Student Loan;48;24;7.27;;;3532.83;24.7263513;12 Years and 9 Months;Yes;200.4326134;159.136722;362.5233313;Poor
January;48;Entrepreneur;20787.69;1999.3075;8;6;14;3;Home Equity Loan, Credit-Builder Loan, and Home Equity Loan;22;14;1.13;3;Standard;614.6;23.72318578;17 Years and 10 Months;No;42.22199266;10000;253.3256224;Standard
February;48;_______;20787.69;1999.3075;8;6;14;3;Home Equity Loan, Credit-Builder Loan, and Home Equity Loan;24;;1.13;3;Standard;614.6;34.23585268;17 Years and 11 Months;No;42.22199266;82.62718037;345.081577;Standard
March;48;_______;20787.69;1999.3075;8;6;14;3;Home Equity Loan, Credit-Builder Loan, and Home Equity Loan;22;;1.13;3;Standard;614.6;22.80214523;NA;No;42.22199266;110.1720956;337.5366617;Standard
April;48;Entrepreneur;20787.69;;8;6;14;3;Home Equity Loan, Credit-Builder Loan, and Home Equity Loan;22;12;1.13;3;Standard;614.6;37.06719824;18 Years and 1 Months;No;42.22199266;89.87484896;337.8339084;Standard
May;48;Entrepreneur;20787.69;;8;6;14;3;Home Equity Loan, Credit-Builder Loan, and Home Equity Loan;22;14;-2.87;3;Standard;614.6;29.33902944;18 Years and 2 Months;No;42.22199266;155.460944;292.2478133;Standard
June;48;Entrepreneur;20787.69;1999.3075;8;6;14;3;Home Equity Loan, Credit-Builder Loan, and Home Equity Loan;22;14;1.13;3;;614.6;30.44242522;NA;No;42.22199266;28.63736094;369.0713964;Standard
July;48;Entrepreneur;20787.69;1999.3075;8;6;14;3;Home Equity Loan, Credit-Builder Loan, and Home Equity Loan;23;14;1.13;3;Standard;614.6;26.11024342;NA;No;42.22199266;258.2151738;189.4935835;Standard
August;48;Entrepreneur;20787.69;1999.3075;8;1381;14;3;Home Equity Loan, Credit-Builder Loan, and Home Equity Loan;22;14;8.13;3;;614.6;35.34418762;18 Years and 5 Months;No;42.22199266;21.74553123;375.9632261;Standard
January;30;Writer;34290.12;2697.51;9;8;25;7;Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan;52;10;17.96;9;Standard;2686.81;39.28029559;13 Years and 8 Months;NM;185.1119826;248.0699573;106.5690601;Poor
February;30;Writer;34290.12;2697.51;9;8;25;7;Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan;47;;13.96;9;Standard;2686.81;27.03684229;NA;NM;185.1119826;10000;196.5585016;Standard
March;30;Writer;34290.12;2697.51;9;8;25;7;Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan;52;6;12.96;9;;2686.81;29.01885043;NA;Yes;185.1119826;60.58953609;274.0494813;Standard
April;30;Writer;34290.12;;9;8;25;-100;Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan;52;7;13.96;9;Standard;2686.81;36.16398913;13 Years and 11 Months;NM;185.1119826;99.47477404;255.1642434;Poor
May;30;_______;34290.12;2697.51;9;8;25;7;Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan;52;12;13.96;9;;2686.81;33.84186604;14 Years and 0 Months;Yes;185.1119826;330.0718422;44.56717524;Poor
June;30;Writer;34290.12;2697.51;9;8;25;7;Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan;52;12;13.96;9;;2686.81;24.22255486;14 Years and 1 Months;Yes;185.1119826;108.9469111;225.6921063;Poor
July;30;Writer;34290.12;2697.51;9;8;25;7;Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan;52;12;13.96;13;Standard;2686.81;35.11893274;14 Years and 2 Months;Yes;185.1119826;224.0932041;150.5458134;Standard
August;30;Writer;34290.12;;9;898;25;7;Home Equity Loan, Credit-Builder Loan, Credit-Builder Loan, Home Equity Loan, Debt Consolidation Loan, Mortgage Loan, and Auto Loan;52;9;13.96;13;;2686.81;36.82064895;14 Years and 3 Months;Yes;185.1119826;94.91721648;249.7218009;Poor
January;32;Accountant;43070.24;;3;3;18;1;Debt Consolidation Loan;11;8;8.97;4;Standard;1233.1;27.98070066;19 Years and 2 Months;Yes;30.57608482;397.0022489;224.6403329;Standard
February;32;Accountant;43070.24;3622.186667;3;3;18;1;Debt Consolidation Loan;13;8;14.97;4;Standard;1233.1;28.07129186;19 Years and 3 Months;Yes;30.57608482;443.9186742;177.7239077;Standard
March;32;Accountant;43070.24;3622.186667;3;3;18;1;Debt Consolidation Loan;15;8;12.97;4;Standard;1233.1;28.36116615;19 Years and 4 Months;Yes;30.57608482;50.50914885;521.133433;Standard
April;995;Accountant;43070.24;3622.186667;3;3;18;1;Debt Consolidation Loan;11;8;8.97;4;Standard;1233.1;24.33177176;19 Years and 5 Months;Yes;30.57608482;74.92037487;506.722207;Standard
May;32;Accountant;43070.24;3622.186667;3;3;18;1;Debt Consolidation Loan;10;8;8.97;8;Standard;1233.1;26.44753733;19 Years and 6 Months;Yes;30.57608482;178.0953584;423.5472234;Standard
June;32;Accountant;43070.24;3622.186667;3;3;18;1;Debt Consolidation Loan;8;8;4.97;8;Standard;1233.1;39.06984399;19 Years and 7 Months;Yes;30.57608482;41.33398006;530.3086018;Standard
July;32;Accountant;43070.24;3622.186667;3;3;18;1;Debt Consolidation Loan;11;8;8.97;8;Standard;1233.1;34.71864364;19 Years and 8 Months;Yes;30.57608482;108.6234469;493.019135;Standard
August;32;Accountant;43070.24;;3;3;18;-100;Debt Consolidation Loan;11;8;8.97;8;Standard;1233.1;26.36569955;19 Years and 9 Months;Yes;30.57608482;403.5168089;218.125773;Standard
January;40;Architect;28572.39;2210.0325;6;3;15;3;Payday Loan, Not Specified, and Auto Loan;25;12;4.89;0;;400.07;24.42225068;30 Years and 3 Months;Yes;69.60292048;42.85050715;348.5498224;Standard
February;40;Architect;28572.39;2210.0325;6;3;15;3;Payday Loan, Not Specified, and Auto Loan;25;9;4.89;0;Standard;400.07;36.43787042;30 Years and 4 Months;NM;69.60292048;83.04420901;358.3561205;Standard
March;40;_______;28572.39;2210.0325;6;3;15;3;Payday Loan, Not Specified, and Auto Loan;28;10;4.89;0;Standard;400.07;29.3235169;30 Years and 5 Months;Yes;69.60292048;53.48420329;347.9161262;Standard
April;40;Architect;28572.39;;6;3;15;3;Payday Loan, Not Specified, and Auto Loan;25;14;4.89;0;;400.07;34.71456104;30 Years and 6 Months;Yes;69.60292048;25.9934623;375.4068672;Standard
May;40;Architect;28572.39;;6;3;15;3;Payday Loan, Not Specified, and Auto Loan;25;12;4.89;2;Standard;400.07;37.50455238;30 Years and 7 Months;Yes;69.60292048;61.62810913;339.7722204;Standard
June;40;Architect;28572.39;;6;3;668;3;Payday Loan, Not Specified, and Auto Loan;25;11;4.89;2;Standard;400.07;35.6939494;30 Years and 8 Months;Yes;69.60292048;129.2648347;312.1354949;Standard
